"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"private";"associates degree academic program";"married civilian spouse present";"technicians and related support";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";26;"wife"
"local government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";50;"wife"
"local government";"high school graduate";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";54;"wife"
"private";"associates degree academic program";"married spouse absent";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"high school graduate";"divorced";"adm support including clerical";"white";"female";"children or armed forces";0;0;"abroad";"adult";"united states";"<=50k";34;"husband"
"private";"some college but no degree";"divorced";"machine operators assmblrs & inspctrs";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"germany";"<=50k";45;"husband"
"local government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";62;"wife"
"private";"some college but no degree";"never married";"technicians and related support";"white";"female";"children or armed forces";0;0;"california";"adult";"united states";"<=50k";23;"other relative"
"state government";"some college but no degree";"married civilian spouse present";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";20;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"self employed incorporated";"high school graduate";"married civilian spouse present";"sales";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";46;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"some college but no degree";"never married";"transportation and material moving";"white";"male";"children or armed forces";0;0;"arizona";"adult";"united states";"<=50k";44;"husband"
"self employed not incorporated";"doctorate degree(phd edd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";49;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";;">50k";54;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"technicians and related support";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";31;"unmarried"
"local government";"high school graduate";"never married";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"puerto rico";"<=50k";32;"husband"
"private";"some college but no degree";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"high school graduate";"never married";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"private";"high school graduate";"never married";"precision production craft & repair";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";24;"husband"
"private";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;1848;"connecticut";"adult";"england";">50k";54;"husband"
"private";"some college but no degree";"divorced";"other service";"white";"male";"children or armed forces";0;0;"arizona";"adult";"united states";"<=50k";27;"unmarried"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"husband"
"private";"associates degree academic program";"never married";"other service";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";24;"own child"
"private";"10th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"unmarried"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";20;"own child"
"state government";"some college but no degree";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";24;"own child"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";54;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";54;"wife"
"private";"high school graduate";"never married";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"high school graduate";"married spouse absent";"handlers equip cleaners etc";"white";"female";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";47;"husband"
"private";"11th grade";"never married";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"both parents present";"united states";"<=50k";17;"own child"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"private";"some college but no degree";"never married";"adm support including clerical";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";21;"own child"
"self employed not incorporated";"masters degree(ma ms meng med msw mba)";"never married";"farming forestry and fishing";"white";"male";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";55;"wife"
"private";"some college but no degree";"never married";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"peru";"<=50k";29;"own child"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"white";"female";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";30;"wife"
"private";"some college but no degree";"never married";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"state government";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"private";"10th grade";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";57;"wife"
